"Adults age 18 and older who went without care because of cost in past year
"
"Adults who went without care because of cost"
2016,Texas,all,All,18
2017,Texas,all,All,19.7
2018,Texas,all,All,16.8
2019,Texas,all,All,18.9
2020,Texas,all,All,15.2
2021,Texas,all,All,16.1
2012,Utah,all,All,15.4
2013,Utah,all,All,15.3
2014,Utah,all,All,14.3
2015,Utah,all,All,12.6
2016,Utah,all,All,11.7
2017,Utah,all,All,13.5
2018,Utah,all,All,13.1
2019,Utah,all,All,14.4
2020,Utah,all,All,10.5
2021,Utah,all,All,10.5
2012,Vermont,all,All,10.1
2013,Vermont,all,All,8.9
2014,Vermont,all,All,9.2
2015,Vermont,all,All,7.6
2016,Vermont,all,All,8.1
2017,Vermont,all,All,8.8
2018,Vermont,all,All,7.7
2019,Vermont,all,All,9.4
2020,Vermont,all,All,7.7
2021,Vermont,all,All,6.2
2012,Virginia,all,All,15.2
2013,Virginia,all,All,15.4
2014,Virginia,all,All,13.1
2015,Virginia,all,All,12.2
2016,Virginia,all,All,13.4
2017,Virginia,all,All,13.6
2018,Virginia,all,All,13.2
2019,Virginia,all,All,12.1
2020,Virginia,all,All,10.6
2021,Virginia,all,All,7.9
2012,Washington,all,All,15.8
2013,Washington,all,All,15.5
2014,Washington,all,All,12.3
2015,Washington,all,All,11.1
2016,Washington,all,All,10.1
2017,Washington,all,All,11.2
2018,Washington,all,All,11
2019,Washington,all,All,11.4
2020,Washington,all,All,8.9
2021,Washington,all,All,8.3
2012,"West Virginia",all,All,19.2
2013,"West Virginia",all,All,18.4
2014,"West Virginia",all,All,16.6
2015,"West Virginia",all,All,13.8
2016,"West Virginia",all,All,14.5
2017,"West Virginia",all,All,14.9
2018,"West Virginia",all,All,14.9
2019,"West Virginia",all,All,13.5
2020,"West Virginia",all,All,11.1
2021,"West Virginia",all,All,10.2
2012,Wisconsin,all,All,13
2013,Wisconsin,all,All,12.1
2014,Wisconsin,all,All,10.6
2015,Wisconsin,all,All,9.3
2016,Wisconsin,all,All,10.5
2017,Wisconsin,all,All,10.8
2018,Wisconsin,all,All,10
2019,Wisconsin,all,All,10.6
2020,Wisconsin,all,All,8.3
2021,Wisconsin,all,All,7
2012,Wyoming,all,All,14.9
2013,Wyoming,all,All,14.3
2014,Wyoming,all,All,11.6
2015,Wyoming,all,All,11.8
2016,Wyoming,all,All,14.4
2017,Wyoming,all,All,14.9
2018,Wyoming,all,All,13.2
2019,Wyoming,all,All,13.4
2020,Wyoming,all,All,11.1
2021,Wyoming,all,All,10.5
